17,17,SpiceJet,15/04/2019,Delhi,Cochin,DEL â†?PNQ â†?COK,8:45,13:15,4h 30m,1 stop,No info,5830,2073
18,18,Jet Airways,12/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,14:00,2023/6/13 12:35,22h 35m,1 stop,In-flight meal not included,10262,2073
19,19,Air India,12/06/2019,Delhi,Cochin,DEL â†?CCU â†?BOM â†?COK,20:15,2023/6/13 19:15,23h,2 stops,No info,13381,2073
20,20,Jet Airways,27/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,16:00,2023/5/28 12:35,20h 35m,1 stop,In-flight meal not included,12898,2073
21,21,GoAir,06/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,14:10,19:20,5h 10m,1 stop,No info,19495,2073
22,22,Air India,21/03/2019,Banglore,New Delhi,BLR â†?COK â†?DEL,22:00,2023/3/19 13:20,15h 20m,1 stop,No info,6955,2196
23,23,IndiGo,03/04/2019,Banglore,Delhi,BLR â†?DEL,4:00,6:50,2h 50m,non-stop,No info,3943,1713
24,24,IndiGo,01/05/2019,Banglore,Delhi,BLR â†?DEL,18:55,21:50,2h 55m,non-stop,No info,4823,1713
25,25,Jet Airways,06/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,18:55,2023/5/7 8:15,13h 20m,1 stop,In-flight meal not included,7757,2196
26,26,Jet Airways,09/06/2019,Delhi,Cochin,DEL â†?IDR â†?BOM â†?COK,21:25,2023/6/10 12:35,15h 10m,2 stops,No info,13292,2073
27,27,IndiGo,01/06/2019,Delhi,Cochin,DEL â†?LKO â†?COK,21:50,2023/6/2 3:35,5h 45m,1 stop,No info,8238,2073
28,28,GoAir,15/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,7:00,12:55,5h 55m,1 stop,No info,7682,2073
29,29,Vistara,18/06/2019,Banglore,Delhi,BLR â†?DEL,9:45,12:35,2h 50m,non-stop,No info,4668,1713
30,30,Vistara,15/06/2019,Chennai,Kolkata,MAA â†?CCU,7:05,9:20,2h 15m,non-stop,No info,3687,1355
31,31,Vistara,18/06/2019,Chennai,Kolkata,MAA â†?CCU,7:05,9:20,2h 15m,non-stop,No info,3687,1355
32,32,Air India,01/05/2019,Kolkata,Banglore,CCU â†?GAU â†?DEL â†?BLR,9:50,23:15,13h 25m,2 stops,No info,13227,2196
33,33,IndiGo,06/04/2019,Banglore,Delhi,BLR â†?DEL,4:00,6:50,2h 50m,non-stop,No info,4423,1713
34,34,Jet Airways,15/06/2019,Delhi,Cochin,DEL â†?NAG â†?BOM â†?COK,14:35,2023/6/16 12:35,22h,2 stops,In-flight meal not included,10919,2073
35,35,Jet Airways,18/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,7:05,12:35,5h 30m,1 stop,In-flight meal not included,12373,2073
36,36,IndiGo,27/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,10:35,21:00,10h 25m,1 stop,No info,5894,2073
37,37,SpiceJet,21/05/2019,Kolkata,Banglore,CCU â†?MAA â†?BLR,15:05,20:20,5h 15m,1 stop,No info,4649,2196
38,38,Air India,18/05/2019,Kolkata,Banglore,CCU â†?BLR,14:15,16:45,2h 30m,non-stop,No info,6245,2196
39,39,Jet Airways,06/03/2019,Banglore,New Delhi,BLR â†?BOM â†?DEL,7:00,13:15,6h 15m,1 stop,No info,19225,2196
40,40,Jet Airways,03/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,7:05,19:00,11h 55m,1 stop,No info,14924,2073
41,41,Multiple carriers,21/05/2019,Delhi,Cochin,DEL â†?HYD â†?COK,7:05,18:10,11h 5m,1 stop,No info,9646,2073
42,42,Air India,15/03/2019,Banglore,New Delhi,BLR â†?BOM â†?DEL,6:45,15:15,8h 30m,1 stop,No info,8714,2196
43,43,Jet Airways,18/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,20:55,2023/5/19 19:00,22h 5m,1 stop,In-flight meal not included,12373,2073
44,44,Air Asia,06/05/2019,Banglore,Delhi,BLR â†?DEL,11:10,13:55,2h 45m,non-stop,No info,3383,1713
45,45,Multiple carriers,21/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,9:00,21:00,12h,1 stop,No info,13062,2073
46,46,SpiceJet,24/03/2019,Banglore,New Delhi,BLR â†?DEL,5:45,8:35,2h 50m,non-stop,No check-in baggage included,3527,2196
47,47,IndiGo,27/05/2019,Banglore,Delhi,BLR â†?DEL,4:00,6:50,2h 50m,non-stop,No info,3943,1713
48,48,Air India,03/05/2019,Chennai,Kolkata,MAA â†?CCU,11:40,13:55,2h 15m,non-stop,No info,4667,1355
49,49,Air India,15/05/2019,Kolkata,Banglore,CCU â†?HYD â†?BLR,19:00,2023/5/16 11:05,16h 5m,1 stop,No info,6117,2196
50,50,Jet Airways,27/06/2019,Delhi,Cochin,DEL â†?AMD â†?BOM â†?COK,23:05,2023/6/28 19:00,19h 55m,2 stops,In-flight meal not included,11150,2073
51,51,Jet Airways,09/03/2019,Delhi,Cochin,DEL â†?COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202,2073
52,52,Jet Airways,01/05/2019,Kolkata,Banglore,CCU â†?DEL â†?BLR,9:35,2023/5/2 10:55,25h 20m,1 stop,No info,12121,2196
53,53,IndiGo,24/03/2019,Banglore,New Delhi,BLR â†?DEL,22:20,2023/3/28 1:10,2h 50m,non-stop,No info,4377,2196
54,54,IndiGo,18/06/2019,Banglore,Delhi,BLR â†?DEL,21:15,2023/6/19 0:15,3h,non-stop,No info,3943,1713
55,55,Air Asia,03/04/2019,Banglore,Delhi,BLR â†?DEL,23:55,2023/4/4 2:45,2h 50m,non-stop,No info,4483,1713
56,56,Jet Airways,24/03/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,19:45,2023/3/25 12:00,16h 15m,1 stop,No info,14231,2196
57,57,Air India,01/03/2019,Banglore,New Delhi,BLR â†?BOM â†?AMD â†?DEL,8:50,23:55,15h 5m,2 stops,No info,17345,2196
58,58,Vistara,06/03/2019,Chennai,Kolkata,MAA â†?CCU,7:05,9:20,2h 15m,non-stop,No info,7414,1355
59,59,Multiple carriers,06/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,19:00,2023/5/7 1:30,6h 30m,1 stop,No info,8073,2073
60,60,Vistara,06/03/2019,Mumbai,Hyderabad,BOM â†?DEL â†?HYD,15:40,2023/3/7 16:45,25h 5m,1 stop,No info,12395,622
61,61,Air India,06/06/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,9:25,21:50,12h 25m,1 stop,No info,8366,2196
62,62,Air India,03/04/2019,Delhi,Cochin,DEL â†?MAA â†?COK,6:05,2023/4/4 9:25,27h 20m,1 stop,No info,5117,2073
63,63,Multiple carriers,03/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,8:45,19:00,10h 15m,1 stop,No info,12524,2073
64,64,IndiGo,15/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,15:00,2023/5/16 1:30,10h 30m,1 stop,No info,7191,2073
65,65,Vistara,24/05/2019,Chennai,Kolkata,MAA â†?CCU,7:05,9:20,2h 15m,non-stop,No info,3687,1355
66,66,IndiGo,24/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,10:35,21:00,10h 25m,1 stop,No info,5894,2073
67,67,Vistara,24/04/2019,Banglore,Delhi,BLR â†?DEL,9:45,12:35,2h 50m,non-stop,No info,5403,1713
68,68,Air India,06/05/2019,Mumbai,Hyderabad,BOM â†?HYD,13:55,15:25,1h 30m,non-stop,No info,3625,622
69,69,Air India,21/05/2019,Delhi,Cochin,DEL â†?BHO â†?BOM â†?COK,5:55,19:15,13h 20m,2 stops,No info,10861,2073
70,70,IndiGo,12/03/2019,Chennai,Kolkata,MAA â†?CCU,13:20,15:35,2h 15m,non-stop,No info,6297,1355
71,71,Jet Airways,01/06/2019,Mumbai,Hyderabad,BOM â†?HYD,7:05,8:30,1h 25m,non-stop,No info,5678,622
72,72,Jet Airways,09/03/2019,Banglore,New Delhi,BLR â†?BOM â†?DEL,5:45,2023/3/13 8:15,26h 30m,1 stop,In-flight meal not included,9134,2196
73,73,Multiple carriers,24/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791,2073
74,74,Jet Airways,24/06/2019,Delhi,Cochin,DEL â†?AMD â†?BOM â†?COK,23:05,2023/6/25 12:35,13h 30m,2 stops,No info,12819,2073
75,75,IndiGo,21/03/2019,Delhi,Cochin,DEL â†?BLR â†?COK,5:05,10:05,5h,1 stop,No info,6893,2073
76,76,Vistara,09/03/2019,Banglore,New Delhi,BLR â†?DEL,9:50,12:35,2h 45m,non-stop,No info,7240,2196
77,77,GoAir,03/04/2019,Banglore,Delhi,BLR â†?DEL,11:40,14:30,2h 50m,non-stop,No info,3898,1713
78,78,IndiGo,03/04/2019,Mumbai,Hyderabad,BOM â†?HYD,6:25,7:55,1h 30m,non-stop,No info,4049,622
79,79,Jet Airways,15/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,17:30,2023/6/16 12:35,19h 5m,1 stop,In-flight meal not included,10262,2073
80,80,SpiceJet,21/03/2019,Chennai,Kolkata,MAA â†?CCU,8:20,10:35,2h 15m,non-stop,No check-in baggage included,3332,1355
81,81,Jet Airways,09/06/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,21:10,2023/6/10 12:00,14h 50m,1 stop,In-flight meal not included,10844,2196
82,82,Jet Airways,24/03/2019,Banglore,New Delhi,BLR â†?DEL,19:55,22:35,2h 40m,non-stop,No info,7229,2196
83,83,Jet Airways,06/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,6:30,2023/5/7 4:40,22h 10m,1 stop,No info,13941,2196
84,84,IndiGo,27/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,11:25,21:00,9h 35m,1 stop,No info,5894,2073
85,85,Multiple carriers,18/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,9:00,19:00,10h,1 stop,No info,10197,2073
86,86,Jet Airways,06/03/2019,Banglore,New Delhi,BLR â†?BOM â†?DEL,14:05,2023/3/7 11:25,21h 20m,1 stop,In-flight meal not included,13712,2196
87,87,IndiGo,24/06/2019,Delhi,Cochin,DEL â†?MAA â†?COK,2:00,7:25,5h 25m,1 stop,No info,5636,2073
88,88,Jet Airways,06/06/2019,Delhi,Cochin,DEL â†?JAI â†?BOM â†?COK,9:40,2023/6/7 4:25,18h 45m,2 stops,No info,13014,2073
89,89,Jet Airways,01/04/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,8:25,20:45,12h 20m,1 stop,In-flight meal not included,7064,2196
90,90,Jet Airways,24/05/2019,Kolkata,Banglore,CCU â†?DEL â†?BLR,20:25,2023/5/25 14:25,18h,1 stop,In-flight meal not included,10703,2196
91,91,Multiple carriers,27/05/2019,Delhi,Cochin,DEL â†?HYD â†?COK,13:15,22:30,9h 15m,1 stop,No info,9646,2073
92,92,Multiple carriers,06/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,2:15,13:20,11h 5m,1 stop,No info,17057,2073
93,93,Jet Airways,12/03/2019,Banglore,New Delhi,BLR â†?BOM â†?DEL,16:55,2023/3/13 10:25,17h 30m,1 stop,No info,13817,2196
94,94,Air India,06/03/2019,Delhi,Cochin,DEL â†?BHO â†?BOM â†?COK,5:55,19:15,13h 20m,2 stops,No info,13748,2073
95,95,Air India,21/04/2019,Kolkata,Banglore,CCU â†?BLR,20:45,23:20,2h 35m,non-stop,No info,4880,2196
96,96,IndiGo,21/06/2019,Chennai,Kolkata,MAA â†?CCU,5:15,7:40,2h 25m,non-stop,No info,3540,1355
97,97,SpiceJet,15/05/2019,Banglore,Delhi,BLR â†?DEL,5:55,8:35,2h 40m,non-stop,No check-in baggage included,3257,1713
98,98,Jet Airways,03/06/2019,Banglore,Delhi,BLR â†?DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478,1713
99,99,Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM â†?HYD,7:05,8:30,1h 25m,non-stop,No info,8040,622
100,100,Jet Airways,12/06/2019,Delhi,Cochin,DEL â†?ATQ â†?BOM â†?COK,20:00,2023/6/13 12:35,16h 35m,2 stops,No info,14300,2073
101,101,Jet Airways,15/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,8:25,20:45,12h 20m,1 stop,No info,14781,2196
102,102,Jet Airways,09/06/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,20:00,2023/6/10 8:15,12h 15m,1 stop,No info,14939,2196
103,103,Jet Airways,24/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,20:55,2023/6/25 4:25,7h 30m,1 stop,In-flight meal not included,10262,2073
104,104,Air India,12/05/2019,Kolkata,Banglore,CCU â†?MAA â†?BLR,14:35,2023/5/13 14:35,24h,1 stop,No info,6528,2196
105,105,Air India,01/05/2019,Banglore,Delhi,BLR â†?DEL,6:10,8:55,2h 45m,non-stop,No info,6121,1713
106,106,Jet Airways,18/05/2019,Delhi,Cochin,DEL â†?JAI â†?BOM â†?COK,19:30,2023/5/19 4:25,8h 55m,2 stops,In-flight meal not included,13029,2073
107,107,Multiple carriers,27/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,11:40,18:50,7h 10m,1 stop,No info,11421,2073
108,108,Multiple carriers,27/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,4:45,19:15,14h 30m,1 stop,No info,7574,2073
109,109,Air India,09/05/2019,Delhi,Cochin,DEL â†?JDH â†?BOM â†?COK,12:55,2023/5/10 19:15,30h 20m,2 stops,No info,11596,2073
110,110,Jet Airways,24/05/2019,Delhi,Cochin,DEL â†?AMD â†?BOM â†?COK,23:05,2023/5/25 19:00,19h 55m,2 stops,No info,15129,2073
111,111,Jet Airways,18/03/2019,Banglore,New Delhi,BLR â†?BOM â†?DEL,14:05,2023/3/16 5:05,15h,1 stop,No info,13555,2196
112,112,IndiGo,12/04/2019,Banglore,Delhi,BLR â†?DEL,18:55,21:50,2h 55m,non-stop,No info,5780,1713
113,113,Vistara,12/05/2019,Kolkata,Banglore,CCU â†?DEL â†?BLR,20:20,2023/5/13 9:05,12h 45m,1 stop,No info,9397,2196
114,114,Jet Airways,06/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,18:15,2023/3/7 4:25,10h 10m,1 stop,No info,17024,2073
115,115,GoAir,27/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,7:00,12:55,5h 55m,1 stop,No info,5281,2073
116,116,Multiple carriers,18/05/2019,Delhi,Cochin,DEL â†?HYD â†?COK,7:05,22:30,15h 25m,1 stop,No info,10348,2073
117,117,Air India,06/03/2019,Delhi,Cochin,DEL â†?MAA â†?COK,17:20,2023/3/7 9:25,16h 5m,1 stop,No info,12677,2073
118,118,Multiple carriers,03/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,15:25,2023/3/4 1:35,10h 10m,1 stop,No info,15147,2073
119,119,Vistara,12/06/2019,Banglore,Delhi,BLR â†?DEL,7:00,9:40,2h 40m,non-stop,No info,4668,1713
120,120,Jet Airways,09/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,7:05,19:00,11h 55m,1 stop,No info,15554,2073
121,121,SpiceJet,09/04/2019,Banglore,Delhi,BLR â†?DEL,5:55,8:35,2h 40m,non-stop,No info,3971,1713
122,122,Air India,03/05/2019,Mumbai,Hyderabad,BOM â†?HYD,15:00,16:25,1h 25m,non-stop,No info,3100,622
123,123,Jet Airways,06/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,20:00,2023/5/7 10:05,14h 5m,1 stop,In-flight meal not included,9663,2196
124,124,Air India,01/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,23:00,2023/3/2 19:15,20h 15m,1 stop,No info,27430,2073
125,125,IndiGo,12/05/2019,Chennai,Kolkata,MAA â†?CCU,5:15,7:40,2h 25m,non-stop,No info,3540,1355
126,126,Air India,21/05/2019,Kolkata,Banglore,CCU â†?BBI â†?BOM â†?BLR,12:00,2023/5/22 11:10,23h 10m,2 stops,No info,10676,2196
127,127,Jet Airways,12/06/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,14:05,2023/6/13 8:15,18h 10m,1 stop,No info,13044,2196
128,128,Jet Airways,06/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,20:00,2023/5/7 12:00,16h,1 stop,No info,14388,2196
129,129,IndiGo,24/06/2019,Banglore,Delhi,BLR â†?DEL,4:00,6:50,2h 50m,non-stop,No info,3943,1713
130,130,IndiGo,03/06/2019,Chennai,Kolkata,MAA â†?CCU,14:45,17:05,2h 20m,non-stop,No info,3597,1355
131,131,Air India,21/03/2019,Banglore,New Delhi,BLR â†?MAA â†?DEL,11:50,19:50,8h,1 stop,No info,5932,2196
132,132,Jet Airways,15/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,11:30,2023/6/16 4:25,16h 55m,1 stop,In-flight meal not included,10262,2073
133,133,Vistara,12/05/2019,Delhi,Cochin,DEL â†?COK,14:40,17:50,3h 10m,non-stop,No info,6216,2073
134,134,IndiGo,15/06/2019,Kolkata,Banglore,CCU â†?BLR,20:25,23:10,2h 45m,non-stop,No info,4804,2196
135,135,Multiple carriers,21/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,11:30,2023/5/22 1:30,14h,1 stop,No info,14067,2073
136,136,Jet Airways,18/05/2019,Delhi,Cochin,DEL â†?AMD â†?BOM â†?COK,19:10,2023/5/19 19:00,23h 50m,2 stops,No info,15129,2073
137,137,Jet Airways,06/06/2019,Delhi,Cochin,DEL â†?NAG â†?BOM â†?COK,6:45,2023/6/7 4:25,21h 40m,2 stops,No info,13376,2073
138,138,Air India,27/06/2019,Delhi,Cochin,DEL â†?GOI â†?BOM â†?COK,22:00,2023/6/28 19:15,21h 15m,2 stops,No info,10441,2073
139,139,Jet Airways,24/05/2019,Banglore,Delhi,BLR â†?DEL,6:00,8:45,2h 45m,non-stop,In-flight meal not included,4030,1713
140,140,Jet Airways,03/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,8:00,18:50,10h 50m,1 stop,No info,17024,2073
141,141,Multiple carriers,09/04/2019,Delhi,Cochin,DEL â†?BOM â†?COK,17:30,2023/4/10 1:30,8h,1 stop,No info,13017,2073
142,142,GoAir,06/06/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,23:30,2023/6/7 7:45,8h 15m,1 stop,No info,6686,2196
143,143,IndiGo,15/06/2019,Delhi,Cochin,DEL â†?MAA â†?COK,2:00,7:25,5h 25m,1 stop,No info,5636,2073
144,144,IndiGo,09/06/2019,Delhi,Cochin,DEL â†?HYD â†?COK,7:35,16:10,8h 35m,1 stop,No info,6442,2073
145,145,Multiple carriers,21/05/2019,Delhi,Cochin,DEL â†?HYD â†?COK,13:05,2023/5/22 0:55,11h 50m,1 stop,No info,9486,2073
146,146,Jet Airways,21/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,20:00,2023/5/22 23:35,27h 35m,1 stop,In-flight meal not included,10844,2196
147,147,Jet Airways,03/06/2019,Delhi,Cochin,DEL â†?ATQ â†?BOM â†?COK,20:00,2023/6/4 4:25,8h 25m,2 stops,In-flight meal not included,15318,2073
148,148,Air India,03/04/2019,Delhi,Cochin,DEL â†?MAA â†?COK,12:30,2023/4/4 9:25,20h 55m,1 stop,No info,5117,2073
149,149,IndiGo,24/06/2019,Delhi,Cochin,DEL â†?BLR â†?COK,15:10,20:00,4h 50m,1 stop,No info,6147,2073
150,150,Multiple carriers,09/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,12:50,21:00,8h 10m,1 stop,No info,7005,2073
151,151,SpiceJet,03/04/2019,Kolkata,Banglore,CCU â†?BLR,22:20,2023/4/4 0:40,2h 20m,non-stop,No info,3873,2196
152,152,Jet Airways,21/03/2019,Delhi,Cochin,DEL â†?BDQ â†?BOM â†?COK,18:25,2023/3/22 18:50,24h 25m,2 stops,In-flight meal not included,9270,2073
153,153,GoAir,27/06/2019,Banglore,Delhi,BLR â†?DEL,11:40,14:30,2h 50m,non-stop,No info,3898,1713
154,154,Jet Airways,12/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,8:25,20:45,12h 20m,1 stop,No info,14781,2196
155,155,Jet Airways,24/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,20:00,2023/5/25 8:15,12h 15m,1 stop,In-flight meal not included,8586,2196
156,156,Air India,09/05/2019,Kolkata,Banglore,CCU â†?JAI â†?BOM â†?BLR,8:20,2023/5/10 7:55,23h 35m,2 stops,No info,10697,2196
157,157,Jet Airways,27/06/2019,Delhi,Cochin,DEL â†?ATQ â†?BOM â†?COK,20:00,2023/6/28 12:35,16h 35m,2 stops,No info,14300,2073
158,158,IndiGo,03/03/2019,Banglore,New Delhi,BLR â†?DEL,18:55,21:45,2h 50m,non-stop,No info,8855,2196
159,159,Jet Airways,12/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,16:30,2023/5/13 18:15,25h 45m,1 stop,In-flight meal not included,10844,2196
160,160,Jet Airways,06/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,2:15,2023/3/7 4:25,26h 10m,1 stop,No info,17024,2073
161,161,Jet Airways,01/05/2019,Kolkata,Banglore,CCU â†?DEL â†?BLR,9:35,2023/5/2 14:25,28h 50m,1 stop,In-flight meal not included,9314,2196
162,162,IndiGo,24/03/2019,Banglore,New Delhi,BLR â†?DEL,0:40,3:25,2h 45m,non-stop,No info,4777,2196
163,163,Air India,09/06/2019,Kolkata,Banglore,CCU â†?BBI â†?BLR,12:00,2023/6/10 13:15,25h 15m,1 stop,No info,7662,2196
164,164,IndiGo,09/05/2019,Delhi,Cochin,DEL â†?HYD â†?COK,6:50,16:10,9h 20m,1 stop,No info,6442,2073
165,165,SpiceJet,12/06/2019,Delhi,Cochin,DEL â†?PNQ â†?COK,8:45,13:15,4h 30m,1 stop,No info,5264,2073
166,166,Jet Airways,27/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,13:00,2023/5/28 4:25,15h 25m,1 stop,In-flight meal not included,12898,2073
167,167,Air India,03/03/2019,Mumbai,Hyderabad,BOM â†?HYD,13:55,15:25,1h 30m,non-stop,No info,6092,622
168,168,SpiceJet,21/05/2019,Banglore,Delhi,BLR â†?DEL,5:55,8:35,2h 40m,non-stop,No info,3311,1713
169,169,Jet Airways,27/03/2019,Delhi,Cochin,DEL â†?BOM â†?COK,19:15,2023/3/28 4:25,9h 10m,1 stop,In-flight meal not included,6540,2073
170,170,IndiGo,27/05/2019,Banglore,Delhi,BLR â†?DEL,1:30,4:15,2h 45m,non-stop,No info,3419,1713
171,171,Jet Airways,03/04/2019,Delhi,Cochin,DEL â†?BOM â†?COK,14:00,2023/4/4 12:35,22h 35m,1 stop,In-flight meal not included,5177,2073
172,172,Air India,18/04/2019,Delhi,Cochin,DEL â†?COK,18:05,21:10,3h 5m,non-stop,No info,8246,2073
173,173,Jet Airways,09/06/2019,Kolkata,Banglore,CCU â†?DEL â†?BLR,9:35,21:05,11h 30m,1 stop,No info,14676,2196
174,174,Multiple carriers,27/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,11:30,21:00,9h 30m,1 stop,No info,13587,2073
175,175,Jet Airways,06/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,21:10,2023/5/7 9:20,12h 10m,1 stop,In-flight meal not included,9663,2196
176,176,Jet Airways,12/06/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,16:30,2023/6/13 10:05,17h 35m,1 stop,No info,13044,2196
177,177,IndiGo,03/04/2019,Delhi,Cochin,DEL â†?BOM â†?COK,20:25,2023/4/4 1:30,5h 5m,1 stop,No info,5073,2073
178,178,Vistara,21/05/2019,Kolkata,Banglore,CCU â†?DEL â†?BLR,17:00,2023/5/22 18:50,25h 50m,1 stop,No info,9345,2196
179,179,Jet Airways,06/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,14:05,2023/5/7 10:05,20h,1 stop,In-flight meal not included,9663,2196
180,180,Multiple carriers,21/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,8:00,21:00,13h,1 stop,No info,14277,2073
181,181,Jet Airways,01/06/2019,Delhi,Cochin,DEL â†?BOM â†?COK,10:00,2023/6/2 4:25,18h 25m,1 stop,In-flight meal not included,10262,2073
182,182,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM â†?HYD,19:35,21:05,1h 30m,non-stop,No info,5678,622
183,183,Multiple carriers,15/05/2019,Delhi,Cochin,DEL â†?BOM â†?COK,16:00,2023/5/16 1:30,9h 30m,1 stop,No info,13727,2073
184,184,Jet Airways,06/05/2019,Kolkata,Banglore,CCU â†?BOM â†?BLR,20:00,2023/5/7 12:00,16h,1 stop,In-flight meal not included,9663,2196
185,185,IndiGo,12/05/2019,Chennai,Kolkata,MAA â†?CCU,14:45,17:05,2h 20m,non-stop,No info,3858,1355
186,186,SpiceJet,24/06/2019,Delhi,Cochin,DEL â†?PNQ â†?COK,8:45,13:15,4h 30m,1 stop,No info,4812,2073
187,187,IndiGo,27/06/2019,Delhi,Cochin,DEL â†?LKO â†?COK,21:50,2023/6/28 3:35,5h 45m,1 stop,No info,5775,2073
